item_link,item_link-href,item_name,item_image-src,item_total_price,item_recipe_price,item_stats,item_builds_from,item_builds_into,item_maps
"Lord Dominik's Regards
					
						 2700 / 400","http://www.mobafire.com/league-of-legends/item/lord-dominiks-regards-296","Lord Dominik's Regards","http://www.mobafire.com/images/item/lord-dominiks-regards.gif","2700","400","50 Attack Damage. UNIQUE Passive: Giant Slayer: Grants up to +15% damage against enemy champions with greater maximum Health than you (+1.5% damage per 50 Health difference, maxing at 500 Health difference).



UNIQUE Passive: Last Whisper: Physical damage ignores 45% of the target's bonus armor (applies before armor penetration).","[{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/last-whisper.gif""},{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/giant-slayer.gif""}]","[]","[{""item_maps"":""Summoner's Rift""},{""item_maps"":""Twisted Treeline""},{""item_maps"":""Howling Abyss""}]"
"Deathfire Grasp
					
						 3100 / 680","http://www.mobafire.com/league-of-legends/item/deathfire-grasp-90","Deathfire Grasp","http://www.mobafire.com/images/item/deathfire-grasp.gif","3100","680","120 Ability Power, 10% Cooldown Reduction. UNIQUE Active: Deals 15% of target champion's maximum Health in Magic Damage then amplifies all magic damage they take by 20% for 4 seconds (90 second cooldown)","[{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/fiendish-codex.gif""},{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/needlessly-large-rod.gif""}]","[]","[{""item_maps"":""Removed""}]"
"Augment: Gravity
					
						 1000 / 1000","http://www.mobafire.com/league-of-legends/item/augment-gravity-133","Augment: Gravity","","1000","1000","10% Cooldown Reduction, 200 Mana, 5% Base Mana Regeneration. Passive: +3 ability power per level

Gravity Field has an additional 30% cast range.","[]","[]","[{""item_maps"":""Removed""}]"
"Sorcerer's Shoes - Distortion
					
						 1550 / 450","http://www.mobafire.com/league-of-legends/item/sorcerers-shoes-distortion-206","Sorcerer's Shoes - Distortion","http://www.mobafire.com/images/item/sorcerers-shoes-distortion.gif","1550","450","15 Magic Penetration. UNIQUE Passive: Enhanced Movement: +45 Movement Speed



UNIQUE Passive: Distortion: Teleport, Flash, and Ghost summoner spell cooldowns are reduced by 15% and are granted additional mobility:



Ghost: Grants 40% Movement Speed from 27%.

Flash: 20% Movement Speed bonus for 1 second after cast.

Teleport: 30% Movement Speed bonus for 3 seconds after use.","[{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/sorcerers-shoes.gif""}]","[]","[{""item_maps"":""Removed""}]"
"Ionian Boots of Lucidity - Homeguard
					
						 1250 / 450","http://www.mobafire.com/league-of-legends/item/ionian-boots-of-lucidity-homeguard-223","Ionian Boots of Lucidity - Homeguard","http://www.mobafire.com/images/item/ionian-boots-of-lucidity-homeguard.gif","1250","450","UNIQUE Passive: Enhanced Movement: +45 Movement Speed.



UNIQUE Passive: +10% Cooldown Reduction.



UNIQUE Passive: Trucidity: Reduces the cooldowns of Summoner Spells by 10%.



UNIQUE Passive: Homeguard: Visiting the shop vastly increases Health and Mana Regeneration and grants 200% bonus Movement Speed that decays over 8 seconds. Bonus movement speed and regeneration are disabled for 6 seconds upon dealing or taking damage.","[{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/ionian-boots-of-lucidity.gif""}]","[]","[{""item_maps"":""Removed""}]"
"Mikael's Crucible
					
						 2400 / 650","http://www.mobafire.com/league-of-legends/item/mikaels-crucible-155","Mikael's Crucible","http://www.mobafire.com/images/item/mikaels-crucible.gif","2400","650","10% Cooldown Reduction, 35 Magic Resistance, 150% Base Mana Regeneration. UNIQUE Passive: Harmony: Grants 100% base health regen per 5 seconds if your current health percentage is lower than your current mana percentage. Grants 100% base mana regen per 5 seconds if your current mana percentage is lower than your current health percentage.

Crucial Healing: 15% bonus healing and shielding power UNIQUE Active: Removes all stuns, roots, taunts, fears, silences and slows on an allied champion and heals them for 150 + 10% of the target's maximum Health (180 second cooldown).","[{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/chalice-of-harmony.gif""},{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/forbidden-idol.gif""}]","[]","[{""item_maps"":""Summoner's Rift""},{""item_maps"":""Twisted Treeline""},{""item_maps"":""Howling Abyss""}]"
"Ionian Boots of Lucidity - Captain
					
						 1350 / 450","http://www.mobafire.com/league-of-legends/item/ionian-boots-of-lucidity-captain-224","Ionian Boots of Lucidity - Captain","http://www.mobafire.com/images/item/ionian-boots-of-lucidity-captain.gif","1350","450","UNIQUE Passive: Enhanced Movement: +45 Movement Speed.



UNIQUE Passive: +10% Cooldown Reduction.



UNIQUE Passive: Trucidity: Reduces the cooldowns of Summoner Spells by 10%.



UNIQUE Passive: Captain: Grants +10% Movement Speed to nearby approaching allied champions.","[{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/ionian-boots-of-lucidity.gif""}]","[]","[{""item_maps"":""Removed""}]"
"Elixir of Sorcery
					
						 500 / 500","http://www.mobafire.com/league-of-legends/item/elixir-of-sorcery-256","Elixir of Sorcery","","500","500","Click: Grants +50 Ability Power, +15 Mana Regeneration per 5 seconds, and the Sorcery buff for 3 minutes.



Sorcery: Damaging a champion or turret deals 25 bonus true damage. This effect has a 5 second cooldown versus champions but no cooldown versus turrets.



You can only have one Elixir active at any point in time. This item cannot be purchased before level 9.","[]","[]","[]"
"Lord Van Damm's Pillager
					
						 3800 / 995","http://www.mobafire.com/league-of-legends/item/lord-van-damms-pillager-142","Lord Van Damm's Pillager","http://www.mobafire.com/images/item/lord-van-damms-pillager.gif","3800","995","80 Attack Damage, 25% Critical Strike Chance. UNIQUE Passive: Critical strikes cause your target to bleed for 150% of your bonus Attack Damage as magic damage over 3 seconds and reveal them for the duration.","[{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/cloak-of-agility.gif""},{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/pickaxe.gif""},{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/wicked-hatchet.gif""}]","[]","[{""item_maps"":""Twisted Treeline""}]"
"Skirmisher's Sabre - Cinderhulk
					
						 2625 / 525","http://www.mobafire.com/league-of-legends/item/skirmishers-sabre-cinderhulk-271","Skirmisher's Sabre - Cinderhulk","http://www.mobafire.com/images/item/skirmishers-sabre-cinderhulk.gif","2625","525","400 Health, 15 Health Multiplier. Passive: Grants 10% Lifesteal vs monsters.



Passive: 150% Mana Regeneration while in the jungle. UNIQUE Passive: Immolate: While in combat, deals 7 (+2 per champion level) magic damage a second to nearby enemies. This passive deals +100% damage against monsters.



UNIQUE Passive: Tooth / Nail: Basic attacks deal 20 bonus damage vs. monsters. Damaging a monster steals 30 Health over 5 seconds. Killing a large monster grants +30 bonus experience.



UNIQUE Passive: Challenging Smite: Smite can be cast on enemy champions, marking them for 4 seconds. While marked, you deal 60-162 (based on level) true damage over 3 seconds, have vision of them, and reduce their damage to you by 20%.","[{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/skirmishers-sabre.gif""},{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/bamis-cinder.gif""}]","[]","[{""item_maps"":""Summoner's Rift""},{""item_maps"":""Twisted Treeline""}]"
"Spirit Visage
					
						 2800 / 800","http://www.mobafire.com/league-of-legends/item/spirit-visage-56","Spirit Visage","http://www.mobafire.com/images/item/spirit-visage.gif","2800","800","10% Cooldown Reduction, 500 Health, 200% Base Health Regeneration, 55 Magic Resistance. UNIQUE Passive: Increases all healing, regeneration and drain effects on yourself by 25%.","[{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/kindlegem.gif""},{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/spectres-cowl.gif""}]","[]","[]"
"Prospector's Blade
					
						 950 / 950","http://www.mobafire.com/league-of-legends/item/prospectors-blade-125","Prospector's Blade","","950","950","20 Attack Damage, 5% Life Steal. UNIQUE Passive: +200 health (does not stack with other Prospector items).","[]","[]","[{""item_maps"":""Removed""}]"
"Mercury's Treads
					
						 1100 / 350","http://www.mobafire.com/league-of-legends/item/mercurys-treads-82","Mercury's Treads","http://www.mobafire.com/images/item/mercurys-treads.gif","1100","350","25 Magic Resistance. UNIQUE Passive: Enhanced Movement: +45 Movement Speed.



UNIQUE Passive: Tenacity: The duration of stuns, slows, taunts, fears, silences, blinds and immobilizes are reduced by 30%.","[{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/boots-of-speed.gif""},{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/null-magic-mantle.gif""}]","[]","[]"
"Spectre's Cowl
					
						 1200 / 350","http://www.mobafire.com/league-of-legends/item/spectres-cowl-182","Spectre's Cowl","http://www.mobafire.com/images/item/spectres-cowl.gif","1200","350","250 Health, 30 Magic Resistance. UNIQUE Passive: Grants +150% Base Health Regeneration for 10 seconds after taking damage from an enemy champion.","[{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/ruby-crystal.gif""},{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/null-magic-mantle.gif""}]","[{""item_builds_into"":"""",""item_builds_into-src"":""/images/item/spirit-visage.gif""},{""item_builds_into"":"""",""item_builds_into-src"":""/images/item/banshees-veil.gif""}]","[]"
"Arcane Sweeper
					
						 2310 / 330","http://www.mobafire.com/league-of-legends/item/arcane-sweeper-120","Arcane Sweeper","http://www.mobafire.com/images/item/arcane-sweeper.gif","2310","330","25 Armor, 225 Health, 250 Mana. UNIQUE Passive: +20% cooldown reduction

UNIQUE - Trap Detection: Nearby stealthed enemy traps are revealed UNIQUE Active: Covers an area with stealth-detecting mist for 5 seconds, granting vision of units which pass through it for 3 seconds. 60 second cooldown. (800 Range, 375 AOE estimate)","[{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/glacial-shroud.gif""},{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/kindlegem.gif""}]","[]","[{""item_maps"":""Removed""}]"
"Ravenous Hydra
					
						 3500 / 525","http://www.mobafire.com/league-of-legends/item/ravenous-hydra-159","Ravenous Hydra","http://www.mobafire.com/images/item/ravenous-hydra.gif","3500","525","75 Attack Damage, 100% Base Health Regeneration, 12% Life Steal. Passive: Damage dealt by this item benefits from life steal (melee only). UNIQUE Passive: Cleave: Your attacks deal physical damage up to 60% of your Attack Damage to units around your target, decaying down to 20% near the edge.  UNIQUE Active: Crescent: Deals physical damage up to 100% of your Attack Damage to units around you, decaying down to 60% near the edge. (10 second cooldown)","[{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/pickaxe.gif""},{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/vampiric-scepter.gif""},{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/tiamat.gif""}]","[]","[]"
"Ninja Tabi
					
						 1100 / 500","http://www.mobafire.com/league-of-legends/item/ninja-tabi-53","Ninja Tabi","http://www.mobafire.com/images/item/ninja-tabi.gif","1100","500","30 Armor. UNIQUE Passive: Enhanced Movement: +45 Movement Speed.



UNIQUE Passive: Blocks 12% of the damage from basic attacks.","[{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/boots-of-speed.gif""},{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/cloth-armor.gif""}]","[]","[{""item_maps"":""Summoner's Rift""},{""item_maps"":""Twisted Treeline""},{""item_maps"":""Howling Abyss""}]"
"Frostfang
					
						 850 / 375","http://www.mobafire.com/league-of-legends/item/frostfang-72","Frostfang","http://www.mobafire.com/images/item/frostfang.gif","850","375","15 Ability Power, 2 Gold Generation, 75% Base Mana Regeneration. UNIQUE Passive: Tribute: Spells and basic attacks against champions or buildings deal 15 additional damage and grant 15 Gold. This can occur up to 3 times every 30 seconds. Killing a minion disables this passive for 12 seconds.



Gold Income: You may only be in possession of 1 Gold Income item.","[{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/faerie-charm.gif""},{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/spellthiefs-edge.gif""}]","[{""item_builds_into"":"""",""item_builds_into-src"":""/images/item/frost-queens-claim.gif""},{""item_builds_into"":"""",""item_builds_into-src"":""/images/item/eye-of-the-watchers.gif""}]","[]"
"Ionian Boots of Lucidity
					
						 900 / 500","http://www.mobafire.com/league-of-legends/item/ionian-boots-of-lucidity-113","Ionian Boots of Lucidity","http://www.mobafire.com/images/item/ionian-boots-of-lucidity.gif","900","500","UNIQUE Passive: Enhanced Movement: +45 Movement Speed.



UNIQUE Passive: +10% Cooldown Reduction.



UNIQUE Passive: Trucidity: Reduces the cooldowns of Summoner Spells by 10%.","[{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/boots-of-speed.gif""}]","[]","[]"
"Fiendish Codex
					
						 900 / 465","http://www.mobafire.com/league-of-legends/item/fiendish-codex-79","Fiendish Codex","http://www.mobafire.com/images/item/fiendish-codex.gif","900","465","30 Ability Power. UNIQUE Passive: +10% Cooldown Reduction.","[{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/amplifying-tome.gif""}]","[{""item_builds_into"":"""",""item_builds_into-src"":""/images/item/abyssal-scepter.gif""},{""item_builds_into"":"""",""item_builds_into-src"":""/images/item/nashors-tooth.gif""},{""item_builds_into"":"""",""item_builds_into-src"":""/images/item/zhonyas-hourglass.gif""},{""item_builds_into"":"""",""item_builds_into-src"":""/images/item/athenes-unholy-grail.gif""},{""item_builds_into"":"""",""item_builds_into-src"":""/images/item/banner-of-command.gif""},{""item_builds_into"":"""",""item_builds_into-src"":""/images/item/frost-queens-claim.gif""},{""item_builds_into"":"""",""item_builds_into-src"":""/images/item/morellonomicon.gif""}]","[]"
"Sweeping Lens
					
						 0 / 0","http://www.mobafire.com/league-of-legends/item/sweeping-lens-190","Sweeping Lens","","0","0","Active: Summons a drone at the target location for 6 seconds, warning against hostile units while revealing and disabling invisible traps and wards (90 - 60 second cooldown depending on level).



Cast range: 500 - 2000 units (depending on level)

Scan radius: 450 - 575 units (depending on level)","[]","[{""item_builds_into"":"""",""item_builds_into-src"":""/images/item/oracle-alteration.gif""}]","[]"
"Boots of Swiftness - Homeguard
					
						 1250 / 450","http://www.mobafire.com/league-of-legends/item/boots-of-swiftness-homeguard-228","Boots of Swiftness - Homeguard","http://www.mobafire.com/images/item/boots-of-swiftness-homeguard.gif","1250","450","UNIQUE Passive: Enhanced Movement: +65 Movement Speed.



UNIQUE Passive: Slow Resist: Movement slowing effects are reduced by 25%.



UNIQUE Passive: Homeguard: Visiting the shop vastly increases Health and Mana Regeneration and grants 200% bonus Movement Speed that decays over 8 seconds. Bonus movement speed and regeneration are disabled for 6 seconds upon dealing or taking damage.","[{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/boots-of-swiftness.gif""}]","[]","[{""item_maps"":""Removed""}]"
"Frozen Heart
					
						 2800 / 700","http://www.mobafire.com/league-of-legends/item/frozen-heart-81","Frozen Heart","http://www.mobafire.com/images/item/frozen-heart.gif","2800","700","90 Armor, 20% Cooldown Reduction, 400 Mana. UNIQUE Passive: Reduces the attack speed of nearby enemies by 15% (1000 range).","[{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/glacial-shroud.gif""},{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/wardens-mail.gif""}]","[]","[]"
"Ninja Tabi - Homeguard
					
						 1550 / 450","http://www.mobafire.com/league-of-legends/item/ninja-tabi-homeguard-208","Ninja Tabi - Homeguard","http://www.mobafire.com/images/item/ninja-tabi-homeguard.gif","1550","450","30 Armor. UNIQUE Passive: Blocks 10% of the damage from basic attacks.





UNIQUE Passive: Enhanced Movement: +45 Movement Speed





UNIQUE Passive: Homeguard: After being out of combat for 6 seconds, visiting the shop grants portion of Health and Mana per second.","[{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/ninja-tabi.gif""}]","[]","[{""item_maps"":""Removed""}]"
"Mercury's Treads - Alacrity
					
						 1550 / 450","http://www.mobafire.com/league-of-legends/item/mercurys-treads-alacrity-217","Mercury's Treads - Alacrity","http://www.mobafire.com/images/item/mercurys-treads-alacrity.gif","1550","450","25 Magic Resistance. UNIQUE Passive: Enhanced Movement: +45 Movement Speed.



UNIQUE Passive: Tenacity: Reduces the duration of stuns, slows, taunts, fears, silences, blinds, and immobilizes by 30%.



UNIQUE Passive: Alacrity: +20 Movement Speed.","[{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/mercurys-treads.gif""}]","[]","[{""item_maps"":""Removed""}]"
"Dead Man's Plate
					
						 2900 / 1100","http://www.mobafire.com/league-of-legends/item/dead-mans-plate-287","Dead Man's Plate","http://www.mobafire.com/images/item/dead-mans-plate.gif","2900","1100","50 Armor, 500 Health. UNIQUE Passive: Dreadnought: You build Momentum stacks while moving, increasing movement speed by up to 60 at 100 stacks. Momentum quickly decays while under the effects of a stun, taunt, fear, silence, blind, polymorph, or immobilize effect, and slowly decays while slowed.



UNIQUE Passive - Crushing Blow: Basic attacks discharge all Momentum, dealing 1 bonus physical damage per 2 stacks. If 100 stacks are discharged, damage is doubled and the target is slowed by 50% decaying over 1 second (melee only).","[{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/giants-belt.gif""},{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/chain-vest.gif""}]","[]","[]"
"Sanguine Blade
					
						 2275 / 600","http://www.mobafire.com/league-of-legends/item/sanguine-blade-130","Sanguine Blade","http://www.mobafire.com/images/item/sanguine-blade.gif","2275","600","45 Attack Damage, 10% Life Steal. Passive: On hit, you gain +6 attack damage and +1% life steal for 8 seconds (maximum 5 stacks).","[{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/pickaxe.gif""},{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/vampiric-scepter.gif""}]","[]","[{""item_maps"":""Twisted Treeline""}]"
"Amplifying Tome
					
						 435 / 435","http://www.mobafire.com/league-of-legends/item/amplifying-tome-21","Amplifying Tome","","435","435","20 Ability Power.","[]","[{""item_builds_into"":"""",""item_builds_into-src"":""/images/item/abyssal-scepter.gif""},{""item_builds_into"":"""",""item_builds_into-src"":""/images/item/zekes-harbinger.gif""},{""item_builds_into"":"""",""item_builds_into-src"":""/images/item/fiendish-codex.gif""},{""item_builds_into"":"""",""item_builds_into-src"":""/images/item/rylais-crystal-scepter.gif""},{""item_builds_into"":"""",""item_builds_into-src"":""/images/item/void-staff.gif""},{""item_builds_into"":"""",""item_builds_into-src"":""/images/item/haunting-guise.gif""},{""item_builds_into"":"""",""item_builds_into-src"":""/images/item/hextech-revolver.gif""},{""item_builds_into"":"""",""item_builds_into-src"":""/images/item/rabadons-deathcap.gif""},{""item_builds_into"":"""",""item_builds_into-src"":""/images/item/morellonomicon.gif""},{""item_builds_into"":"""",""item_builds_into-src"":""/images/item/seekers-armguard.gif""},{""item_builds_into"":"""",""item_builds_into-src"":""/images/item/aether-wisp.gif""},{""item_builds_into"":"""",""item_builds_into-src"":""/images/item/enchantment-runic-echoes.gif""},{""item_builds_into"":"""",""item_builds_into-src"":""/images/item/trackers-knife-runic-echoes.gif""},{""item_builds_into"":"""",""item_builds_into-src"":""/images/item/skirmishers-sabre-runic-echoes.gif""},{""item_builds_into"":"""",""item_builds_into-src"":""/images/item/stalkers-blade-runic-echoes.gif""},{""item_builds_into"":"""",""item_builds_into-src"":""/images/item/lost-chapter.gif""}]","[]"
"Heart of Gold
					
						 825 / 350","http://www.mobafire.com/league-of-legends/item/heart-of-gold-91","Heart of Gold","","825","350","200 Health. UNIQUE Passive: Gain an additional 5 gold every 10 seconds.



(Item is unavailable for purchase)","[]","[]","[{""item_maps"":""Removed""}]"
"Last Whisper
					
						 1300 / 425","http://www.mobafire.com/league-of-legends/item/last-whisper-48","Last Whisper","http://www.mobafire.com/images/item/last-whisper.gif","1300","425","25 Attack Damage. UNIQUE Passive: Physical damage ignores 30% of the target's bonus armor (applies before armor penetration).","[{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/pickaxe.gif""}]","[{""item_builds_into"":"""",""item_builds_into-src"":""/images/item/lord-dominiks-regards.gif""},{""item_builds_into"":"""",""item_builds_into-src"":""/images/item/mortal-reminder.gif""}]","[]"
"Eleisa's Miracle
					
						 1100 / 400","http://www.mobafire.com/league-of-legends/item/eleisas-miracle-119","Eleisa's Miracle","http://www.mobafire.com/images/item/eleisas-miracle.gif","1100","400","10% Base Health Regeneration, 15% Base Mana Regeneration. UNIQUE Passive: Aid: Your Summoner Heal, Clarity, and Clairvoyance cooldowns are reduced by 25%.



UNIQUE Passive: Eleisa's Blessing: If you gain 3 levels with this item, you gain all the effects of this item permanently and this item is consumed.



(This item is unavailable for purchase)","[{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/nomads-medallion.gif""}]","[]","[{""item_maps"":""Removed""}]"
"Tracker's Knife - Runeglaive
					
						 2675 / 140","http://www.mobafire.com/league-of-legends/item/trackers-knife-runeglaive-316","Tracker's Knife - Runeglaive","http://www.mobafire.com/images/item/trackers-knife-runeglaive.gif","2675","140","40 Ability Power, 10% Cooldown Reduction, 250 Mana. Passive: Grants 10% Lifesteal vs monsters.



Passive: 150% Mana Regeneration while in the jungle. UNIQUE Passive: Spellblade: After using an ability, your next basic attack deals 100% base Attack Damage (+30% of ability power) bonus magic damage. (1.5 second cooldown). When directly attacking a monster, the bonus damage is reapplied in an AoE around the target and also restores 8% of your missing Mana.



UNIQUE Passive: Tooth / Nail: Basic attacks deal 20 bonus damage vs. monsters. Damaging a monster steals 30 health over 5 seconds. Killing a large monster grants +30 bonus experience.



UNIQUE Passive: Warding (Minor): Consumes a charge to place a Stealth Ward that reveals the surrounding area for 150 seconds. Holds up to 2 charges which refill upon visiting the shop.","[{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/amplifying-tome.gif""},{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/sheen.gif""},{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/trackers-knife.gif""}]","[]","[{""item_maps"":""Summoner's Rift""},{""item_maps"":""Twisted Treeline""},{""item_maps"":""Removed""}]"
"Ohmwrecker
					
						 2650 / 650","http://www.mobafire.com/league-of-legends/item/ohmwrecker-158","Ohmwrecker","http://www.mobafire.com/images/item/ohmwrecker.gif","2650","650","50 Armor, 10% Cooldown Reduction, 300 Health, 150% Base Health Regeneration. UNIQUE Passive: Point Runner: Builds up to +30% Movement Speed over 2 seconds while near turrets or destroyed turrets, the movement speed build up decays upon leaving the area. UNIQUE Active: Prevents nearby enemy turrets from attacking for 3 seconds (120 second cooldown). This effect cannot be used against the same turret more than once every 8 seconds.","[{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/kindlegem.gif""},{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/raptor-cloak.gif""}]","[]","[{""item_maps"":""Summoner's Rift""},{""item_maps"":""Twisted Treeline""}]"
"Giant Slayer
					
						 1000 / 650","http://www.mobafire.com/league-of-legends/item/giant-slayer-295","Giant Slayer","http://www.mobafire.com/images/item/giant-slayer.gif","1000","650","10 Attack Damage. UNIQUE Passive: Giant Slayer: Grants up to +10% damage against enemy champions with greater maximum Health than you (+1% damage per 50 Health difference, maxing at 500 Health difference).","[{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/long-sword.gif""}]","[{""item_builds_into"":"""",""item_builds_into-src"":""/images/item/lord-dominiks-regards.gif""}]","[]"
"Soul Shroud
					
						 2285 / 485","http://www.mobafire.com/league-of-legends/item/soul-shroud-73","Soul Shroud","","2285","485","520 Health. UNIQUE Aura: Gives nearby Champions 12 Mana per 5 and 10% reduced Cooldowns. (Item is unavailable for purchase)","[]","[]","[{""item_maps"":""Removed""}]"
"Stalker's Blade - Runeglaive
					
						 2675 / 140","http://www.mobafire.com/league-of-legends/item/stalkers-blade-runeglaive-276","Stalker's Blade - Runeglaive","http://www.mobafire.com/images/item/stalkers-blade-runeglaive.gif","2675","140","40 Ability Power, 10% Cooldown Reduction, 250 Mana. Passive: Grants 10% Lifesteal vs monsters.



Passive: 150% Mana Regeneration while in the jungle. UNIQUE Passive: Spellblade: After using an ability, your next basic attack deals 100% base Attack Damage (+30% of ability power) bonus magic damage. (1.5 second cooldown). When directly attacking a monster, the bonus damage is reapplied in an AoE around the target and also restores 8% of your missing Mana.



UNIQUE Passive: Tooth / Nail: Basic attacks deal 20 bonus damage vs. monsters. Damaging a monster steals 30 health over 5 seconds. Killing a large monster grants +30 bonus experience.



UNIQUE Passive: Chilling Smite: Smite can be cast on enemy champions, dealing 28-164 true damage and stealing 20% of the target's movement speed for 2 seconds.","[{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/amplifying-tome.gif""},{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/sheen.gif""},{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/stalkers-blade.gif""}]","[]","[{""item_maps"":""Summoner's Rift""},{""item_maps"":""Twisted Treeline""},{""item_maps"":""Removed""}]"
"The Hex Core
					
						 0 / 0","http://www.mobafire.com/league-of-legends/item/the-hex-core-131","The Hex Core","","0","0","Passive: +3 ability power per level.  Acquired at the beginning of the game and cannot be sold. This item is exclusive to Viktor.","[]","[]","[{""item_maps"":""Removed""}]"
"Lich Bane
					
						 3200 / 450","http://www.mobafire.com/league-of-legends/item/lich-bane-74","Lich Bane","http://www.mobafire.com/images/item/lich-bane.gif","3200","450","80 Ability Power, 10% Cooldown Reduction, 250 Mana, 7% Movement Speed. UNIQUE Passive: Spellblade: After using an ability, your next basic attack deals bonus magic damage equal to 75% of your base AD + 50% of your Ability Power (1.5 Second Cooldown).","[{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/blasting-wand.gif""},{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/sheen.gif""},{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/aether-wisp.gif""}]","[]","[]"
"Death's Daughter
					
						 500 / 500","http://www.mobafire.com/league-of-legends/item/deaths-daughter-290","Death's Daughter","","500","500","Passive: An initial, large cannonball lands in the center of the barrage, dealing a cluster's worth of true damage to all enemies it hits and slowing them by 60% for 1.5 seconds.



[Purchased by Gangplank with Silver Serpents instead of gold]","[]","[]","[]"
"Stealth Ward
					
						 75 / 75","http://www.mobafire.com/league-of-legends/item/stealth-ward-100","Stealth Ward","","75","75","Click: Places an invisible ward with 1100 range. Lasts 3 minutes. Each player can have no more than three Stealth Wards placed on the map at a time.



Max: 3 Stacks.","[]","[]","[{""item_maps"":""Removed""}]"
"Refillable Potion
					
						 150 / 150","http://www.mobafire.com/league-of-legends/item/refillable-potion-305","Refillable Potion","","150","150","Click: Consume a charge to restore 125 Health over 12 seconds. Holds up to 2 charges and refills upon visiting the shop. Limited to one type of Healing Potion.","[]","[{""item_builds_into"":"""",""item_builds_into-src"":""/images/item/hunters-potion.gif""},{""item_builds_into"":"""",""item_builds_into-src"":""/images/item/corrupting-potion.gif""}]","[{""item_maps"":""Summoner's Rift""},{""item_maps"":""Twisted Treeline""},{""item_maps"":""Howling Abyss""}]"
"Elixir of Iron
					
						 500 / 500","http://www.mobafire.com/league-of-legends/item/elixir-of-iron-254","Elixir of Iron","","500","500","Click: Grants 300 Health, +25% increased size, +25% tenacity, and the Path of Iron buff for 3 minutes.



Path of Iron: Moving leaves a path behind that boosts allied champion's Movement Speed by 15%.



You can only have one Elixir active at any point in time. This item cannot be purchased before level 9.","[]","[]","[]"
"Doran's Shield
					
						 450 / 450","http://www.mobafire.com/league-of-legends/item/dorans-shield-23","Doran's Shield","","450","450","80 Health. Passive: Restores 6 health every 5 seconds. UNIQUE Passive: Blocks 8 damage from champion basic attacks and single target spells.","[]","[]","[{""item_maps"":""Summoner's Rift""},{""item_maps"":""Twisted Treeline""}]"
